fyear,sale_abt,ni_abt,firm_size_abt,profitability_abt,sale_peer,ni_peer,firm_size_peer,profitability_peer
2017,,,,,5993.1016,620.2158000000001,2.570009882258548,0.024165202108963096
2018,30578.0,2368.0,11.115026660059447,0.03525225909219478,995.449394736842,104.34192105263158,3.633560179052331,-0.26675323238819526
2019,31904.0,3687.0,11.125599837189851,0.054310840072473374,981.263475,146.8850875,3.665955965606373,-0.2782891202919533
2020,34608.0,4495.0,11.192003690737314,0.061958978882946464,1122.2924090909091,222.36685227272727,3.879770514900802,-0.24698993010946185
2021,43075.0,7071.0,11.227853317033851,0.0940342571413373,1125.9523956043956,143.57056043956044,4.348129349336448,-0.28467151709733657
2022,43653.0,6933.0,11.217721843119596,0.09313791343131196,1157.9806195652175,57.09077173913044,4.219755513219681,-0.33018846605228336
2023,40109.0,5723.0,11.201141938492748,0.07816810992433142,941.8461704545455,45.504113636363634,4.2259378495019595,-0.43816661308779503
