fyear,sale_ABT,ni_ABT,profitability_ABT,firm_size_ABT,sale_PeerAvg,ni_PeerAvg,profitability_PeerAvg,firm_size_PeerAvg
2017,,,,,5993.1016,620.2158000000001,-6.901459110972931,2.570009882258548
2018,30578.0,2368.0,0.0352522590921948,11.1150266600594,995.449394736842,104.34192105263158,-18.974436362937723,3.633560179052331
2019,31904.0,3687.0,0.0543108400724734,11.1255998371899,981.263475,146.8850875,-57.34306781095794,3.665955965606373
2020,34608.0,4495.0,0.0619589788829465,11.1920036907373,1122.2924090909091,222.36685227272727,-1.910799101628032,3.879770514900801
2021,43075.0,7071.0,0.0940342571413373,11.2278533170339,1125.9523956043956,143.57056043956044,-1.1576121761284144,4.348129349336449
2022,43653.0,6933.0,0.093137913431312,11.2177218431196,1157.9806195652175,57.09077173913044,-1.0788075156014114,4.219755513219682
2023,40109.0,5723.0,0.0781681099243314,11.2011419384927,941.8461704545455,45.504113636363634,-1.515050434874152,4.2259378495019595
